programa,lista_declaracoes_externas,declaracao_externa,declaracao_tipo,declaracao_funcao,declaracao_variavel,idd,lista_identificadores,n_funcao,tipo,idu,new_block,lista_parametros,num,declaracao_campos,marcador_funcao,bloco,lista_declaracao_variaveis,lista_comandos,comando,valor_esquerdo,mw,expressao,expressao_l,expressao_r,expressao_y,expressao_f,true,false,chr,str,id,marcador_c,mt,lista_expressoes,me,TYPE,FUNCTION,VAR,$end,ID,EQUALS,LEFT_PARENTHESIS,COLON,COMMA,ARRAY,STRUCT,INTEGER,CHAR,BOOLEAN,STRING,LEFT_SQUARE,LEFT_BRACES,SEMI_COLON,RIGHT_PARENTHESIS,RIGHT_BRACES,DOT,PLUS_PLUS,MINUS_MINUS,TIMES,DIVIDE,PLUS,MINUS,LESS_THAN,LESS_OR_EQUAL,GREATER_THAN,GREATER_OR_EQUAL,EQUAL_EQUAL,NOT_EQUAL,AND,OR,RIGHT_SQUARE,NUMERAL,IF,WHILE,DO,BREAK,CONTINUE,RETURN,OF,NOT,TRUE,FALSE,CHARACTER,STRINGVAL,ELSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,99,,,105,,,,,,,95,,89,90,91,92,94,101,102,103,104,,,,,,,,,,28,,98,,,,,,,,,,,,,,,96,97,,,,93,,,,,,,,,,38,,,,,,,,100,106,107,108,109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,,,-78,,,,,,,-78,,-78,-78,,-78,,,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24,-24,-24,-24,-24,,,,,,,,,,,,-24,,,-24,,,,,,,,,,,,,,,,,,-24,-24,-24,-24,-24,-24,,,,,,,-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27,,,,,,,,,,,,-27,,,-27,,,,,,,,,,,,,,,,,,-27,-27,-27,-27,-27,-27,,,,,,,
,,,,,,,,,,99,,,105,,,,,,,95,,110,90,91,92,94,101,102,103,104,,,,,,,,,,28,,98,,,,,,,,,,,,,,,96,97,,,,93,,,,,,,,,,38,,,,,,,,100,106,107,108,109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,77,72,,,,,,,,112,73,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,-18,,,,,,,,,,,,,,,,,,,,,69,70,71,74,75,76,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-39,,,,,,,,,,,,-39,,,-39,,,,,,,,,,,,,,,,,,-39,-39,-39,-39,-39,-39,,,,,,,-39
,,,,,,,,,,99,,,105,,,,,,,95,,113,90,91,92,94,101,102,103,104,,,,,,,,,,28,,98,,,,,,,,,,,,,,,96,97,,,,93,,,,,,,,,,38,,,,,,,,100,106,107,108,109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,99,,,105,,,,,,,95,,116,90,91,92,94,101,102,103,104,,,,,,,,,,28,,98,,,,,,,,,,,,,,,96,97,,,,93,,,,,,,,,,38,,,,,,,,100,106,107,108,109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41,,,,,,,,,,,,-41,,,-41,,,,,,,,,,,,,,,,,,-41,-41,-41,-41,-41,-41,,,,,,,-41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-42,,,,,,,,,,,,-42,,,-42,,,,,,,,,,,,,,,,,,-42,-42,-42,-42,-42,-42,,,,,,,-42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,118,119,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-46,,,,,,,,,-46,-46,,,,,,,,,120,121,122,123,124,125,-46,-46,-46,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-53,,,,,,,,,-53,-53,,,,,,,126,127,-53,-53,-53,-53,-53,-53,-53,-53,-53,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56,,,,,,,,,-56,-56,,,,,128,129,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,,,,,,,,,,,,,,
,,,,,,,,,,99,,,105,,,,,,,95,,,,,,130,101,102,103,104,,,,,,,,,,28,,98,,,,,,,,,,,,,,,96,97,,,,93,,,,,,,,,,38,,,,,,,,100,106,107,108,109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-59,,,,,,,,,-59,-59,,,,,-59,-59,-59,-59,-59,-59,-59,-59,-59,-59,-59,-59,-59,,,,,,,,,,,,,,
